id,Date,idc,scantime,starttime,wh
"5313047,""2021-01-23 00:00:08"",-0.015884,37199919.336,""2019-11-19 11:16:08"",-0.017749"
"5313048,""2021-01-23 00:00:18"",-0.015994,37199934.299,""2019-11-19 11:16:08"",-0.026723"
"5313049,""2021-01-23 00:00:29"",-0.016212,37199939.317,""2019-11-19 11:16:08"",-0.009083"
"5313050,""2021-01-23 00:00:39"",-0.01654,37199949.331,""2019-11-19 11:16:08"",-0.018495"
"5313051,""2021-01-23 00:00:48"",-0.01665,37199959.338,""2019-11-19 11:16:08"",-0.018601"
"5313052,""2021-01-23 00:00:59"",-0.015557,37199974.314,""2019-11-19 11:16:08"",-0.026"
"5313053,""2021-01-23 00:01:08"",-0.015884,37199984.323,""2019-11-19 11:16:08"",-0.017743"
"5313054,""2021-01-23 00:01:18"",-0.015666,37199989.331,""2019-11-19 11:16:08"",-0.00876"
"5313055,""2021-01-23 00:01:28"",-0.016103,37199999.337,""2019-11-19 11:16:08"",-0.018003"
"5313056,""2021-01-23 00:01:38"",-0.015557,37200009.308,""2019-11-19 11:16:08"",-0.017324"
"5313057,""2021-01-23 00:01:49"",-0.016103,37200024.32,""2019-11-19 11:16:08"",-0.027026"
"5313058,""2021-01-23 00:01:59"",-0.015775,37200029.327,""2019-11-19 11:16:08"",-0.008826"
"5313059,""2021-01-23 00:02:08"",-0.015338,37200039.338,""2019-11-19 11:16:08"",-0.017158"
"5313060,""2021-01-23 00:02:19"",-0.015884,37200049.295,""2019-11-19 11:16:08"",-0.017673"
"5313061,""2021-01-23 00:02:29"",-0.016212,37200064.316,""2019-11-19 11:16:08"",-0.027214"
"5313062,""2021-01-23 00:02:39"",-0.016103,37200074.331,""2019-11-19 11:16:08"",-0.018027"
"5313063,""2021-01-23 00:02:49"",-0.016212,37200079.297,""2019-11-19 11:16:08"",-0.008992"
"5313064,""2021-01-23 00:02:58"",-0.016103,37200089.305,""2019-11-19 11:16:08"",-0.018005"
"5313065,""2021-01-23 00:03:09"",-0.016212,37200099.309,""2019-11-19 11:16:08"",-0.018133"
